,YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value,Sample_Size,Gender,Race,Age
5653,2017,Tennessee,E-Cigarette Use (Adults),Current Use,,14.5,308,Overall,All Races,18 to 24 Years
5654,2017,Maryland,Smokeless Tobacco Use (Adults),Current Use,,2.2,2128,Overall,All Races,25 to 44 Years
5655,2018,Rhode Island,Smokeless Tobacco Use (Adults),Current Use,,4.3,367,Overall,All Races,Age 25 and Older
5656,2016,Kentucky,E-Cigarette Use (Adults),Current Use,,10.9,658,Overall,All Races,18 to 24 Years
5657,2016,Arkansas,E-Cigarette Use (Adults),Frequency of Use,Some Days,63.7,177,Overall,All Races,All Ages
5658,2016,Colorado,E-Cigarette Use (Adults),Current Use,,5.2,2660,Overall,All Races,Age 25 and Older
5659,2018,Virginia,Cigarette Use (Adults),Current Smoking,,10.1,3334,Overall,All Races,65 Years and Older
5660,2017,Idaho,E-Cigarette Use (Adults),Current Use,,4.8,1089,Overall,All Races,25 to 44 Years
5661,2018,Alaska,Cigarette Use (Adults),Current Smoking,,39.1,158,Overall,All Races,Age 20 and Older
5662,2018,Illinois,Cigarette Use (Adults),Current Smoking,,12.1,2666,Female,All Races,All Ages
5663,2018,Idaho,Cigarette Use (Adults),Current Smoking,,13.7,493,Female,All Races,18 to 44 Years
5664,2017,Minnesota,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,46,823,Male,All Races,All Ages
5665,2017,Texas,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,64.8,336,Male,All Races,All Ages
5666,2017,Georgia,E-Cigarette Use (Adults),Frequency of Use,Every Day,44.6,89,Female,All Races,All Ages
5667,2017,Colorado,E-Cigarette Use (Adults),Current Use,,5.8,1625,Overall,All Races,Age 25 and Older
5668,2018,Florida,Cigarette Use (Adults),Current Smoking,,18,4227,Overall,All Races,Age 20 and Older
5669,2018,Rhode Island,Cigarette Use (Adults),Current Smoking,,19.5,1254,Overall,All Races,Age 20 and Older
5670,2018,Oklahoma,Cigarette Use (Adults),Current Smoking,,23.6,1385,Overall,All Races,Age 20 and Older
5671,2018,Idaho,E-Cigarette Use (Adults),User Status,Current,6.2,1570,Male,All Races,All Ages
5672,2018,Virginia,Cigarette Use (Adults),Current Smoking,,12.7,5516,Female,All Races,All Ages
5673,2016,Connecticut,Cigarette Use (Adults),Smoking Status,Current,12,6079,Female,All Races,All Ages
5674,2017,Delaware,Cigarette Use (Adults),Smoking Frequency,Every Day,68.1,311,Female,All Races,All Ages
5675,2017,Puerto Rico,E-Cigarette Use (Adults),Frequency of Use,Every Day,,,Male,All Races,All Ages
5676,2018,Montana,E-Cigarette Use (Adults),Current Use,,2.3,1757,Overall,All Races,45 to 64 Years
5677,2017,Hawaii,Cigarette Use (Adults),Current Smoking,,12.2,1167,Female,All Races,18 to 44 Years
5678,2017,Maryland,Cigarette Use (Adults),Smoking Frequency,Every Day,68.6,663,Male,All Races,All Ages
5679,2018,Delaware,Smokeless Tobacco Use (Adults),User Status,Not Current,95.6,2227,Male,All Races,All Ages
5680,2016,Hawaii,Cigarette Use (Adults),Smoking Status,Never,68.4,4150,Female,All Races,All Ages
5681,2018,Tennessee,E-Cigarette Use (Adults),User Status,Former,24.5,1934,Male,All Races,All Ages
5682,2018,Guam,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,,Female,All Races,All Ages
5683,2018,West Virginia,Cigarette Use (Adults),Current Smoking,,28.5,1651,Overall,All Races,Age 20 and Older
5684,2017,New Mexico,Cigarette Use (Adults),Smoking Frequency,Every Day,67.4,496,Female,All Races,All Ages
5685,2018,Guam,Smokeless Tobacco Use (Adults),Current Use,,2.5,328,Overall,All Races,65 Years and Older
5686,2018,Utah,E-Cigarette Use (Adults),Current Use,,7.7,2092,Female,All Races,18 to 44 Years
5687,2017,District of Columbia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,,Female,All Races,All Ages
5688,2017,North Carolina,Cigarette Use (Adults),Smoking Status,Never,56.9,4741,Overall,All Races,All Ages
5689,2018,Nebraska,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,52.9,665,Female,All Races,All Ages
5690,2017,Arkansas,Cigarette Use (Adults),Current Smoking,,35.1,454,Overall,All Races,Age 20 and Older
5691,2018,Iowa,Cigarette Use (Adults),Smoking Frequency,Every Day,74.9,640,Female,All Races,All Ages
5692,2017,New Jersey,Cigarette Use (Adults),Current Smoking,,11.2,7336,Overall,All Races,Age 25 and Older
5693,2017,West Virginia,E-Cigarette Use (Adults),User Status,Current,6.5,2312,Male,All Races,All Ages
5694,2018,Nebraska,Cigarette Use (Adults),Smoking Frequency,Every Day,67.8,949,Female,All Races,All Ages
5695,2018,Vermont,Smokeless Tobacco Use (Adults),User Status,Not Current,97.4,6374,Overall,All Races,All Ages
5696,2018,Georgia,Smokeless Tobacco Use (Adults),Current Use,,1.4,4937,Female,All Races,All Ages
5697,2018,North Carolina,Smokeless Tobacco Use (Adults),User Status,Not Current,91.6,2120,Male,All Races,All Ages
5698,2018,National Median (States and DC),Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,60.1,,Overall,All Races,All Ages
5699,2017,New York,Cigarette Use (Adults),Smoking Frequency,Every Day,66.5,722,Female,All Races,All Ages
5700,2017,Arizona,Cigarette Use (Adults),Current Smoking,,15.6,14770,Overall,All Races,All Ages
5701,2018,Pennsylvania,Cigarette Use (Adults),Smoking Status,Never,53.7,2890,Male,All Races,All Ages
5702,2016,Iowa,E-Cigarette Use (Adults),User Status,Current,4.5,3106,Male,All Races,All Ages
5703,2017,North Dakota,Smokeless Tobacco Use (Adults),User Status,Not Current,93.8,6724,Overall,All Races,All Ages
5704,2018,Maryland,E-Cigarette Use (Adults),User Status,Never,81.6,16337,Overall,All Races,All Ages
5705,2017,Illinois,E-Cigarette Use (Adults),Current Use,,5.7,1177,Overall,All Races,Age 20 and Older
5706,2017,Utah,E-Cigarette Use (Adults),Frequency of Use,Some Days,49.3,233,Male,All Races,All Ages
5707,2018,Idaho,E-Cigarette Use (Adults),Current Use,,5.8,3232,Overall,All Races,All Ages
5708,2017,District of Columbia,E-Cigarette Use (Adults),Current Use,,3,1594,Male,All Races,All Ages
5709,2017,Kansas,Cigarette Use (Adults),Current Smoking,,12.5,14220,Overall,All Races,Age 20 and Older
5710,2018,Idaho,E-Cigarette Use (Adults),Current Use,,6.8,686,Overall,All Races,25 to 44 Years
5711,2017,Alaska,Cigarette Use (Adults),Smoking Frequency,Every Day,61.4,238,Female,All Races,All Ages
5712,2016,Connecticut,Smokeless Tobacco Use (Adults),Current Use,,2.8,510,Overall,All Races,Age 20 and Older
5713,2018,Idaho,Cigarette Use (Adults),Smoking Status,Former,27.7,1769,Male,All Races,All Ages
5714,2017,Guam,E-Cigarette Use (Adults),Current Use,,14.7,153,Overall,All Races,18 to 24 Years
5715,2017,North Carolina,E-Cigarette Use (Adults),Current Use,,4.1,2614,Female,All Races,All Ages
5716,2017,Massachusetts,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,64.7,2828,Overall,All Races,All Ages
5717,2017,Illinois,Cigarette Use (Adults),Smoking Status,Current,13.8,2959,Female,All Races,All Ages
5718,2017,Montana,Cigarette Use (Adults),Current Smoking,,22.5,1546,Overall,All Races,Age 25 and Older
5719,2018,Mississippi,E-Cigarette Use (Adults),User Status,Current,7.1,2205,Male,All Races,All Ages
5720,2018,West Virginia,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,24.1,271,Male,All Races,All Ages
5721,2017,South Carolina,Cigarette Use (Adults),Current Smoking,,37.4,1090,Overall,All Races,Age 20 and Older
5722,2017,Arkansas,Smokeless Tobacco Use (Adults),User Status,Not Current,97,3281,Female,All Races,All Ages
5723,2017,Wisconsin,Cigarette Use (Adults),Current Smoking,,30.3,240,Overall,All Races,Age 20 and Older
5724,2017,Delaware,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,23,99,Overall,All Races,All Ages
5725,2017,Oregon,E-Cigarette Use (Adults),Current Use,,4.1,1012,Overall,All Races,Age 25 and Older
5726,2016,Iowa,Cigarette Use (Adults),Current Smoking,,13,4102,Overall,All Races,Age 25 and Older
5727,2018,West Virginia,Smokeless Tobacco Use (Adults),User Status,Not Current,84.5,2088,Male,All Races,All Ages
5728,2018,Iowa,Cigarette Use (Adults),Smoking Status,Current,18,4198,Male,All Races,All Ages
5729,2016,Guam,Cigarette Use (Adults),Smoking Status,Former,13.8,851,Female,All Races,All Ages
5730,2018,Utah,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,54.1,321,Male,All Races,All Ages
5731,2018,New Hampshire,Cigarette Use (Adults),Current Smoking,,9.7,3788,Overall,All Races,Age 20 and Older
5732,2016,Arizona,E-Cigarette Use (Adults),Current Use,,4.4,6158,Female,All Races,All Ages
5733,2018,South Dakota,E-Cigarette Use (Adults),Current Use,,4.1,1881,Overall,All Races,Age 20 and Older
5734,2017,Louisiana,Smokeless Tobacco Use (Adults),Current Use,,11,1899,Male,All Races,All Ages
5735,2018,North Carolina,E-Cigarette Use (Adults),Current Use,,3.4,2243,Overall,All Races,Age 25 and Older
5736,2017,Virginia,Cigarette Use (Adults),Smoking Frequency,Some Days,29.2,712,Female,All Races,All Ages
5737,2017,Tennessee,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,44.7,845,Overall,All Races,All Ages
5738,2018,Rhode Island,Cigarette Use (Adults),Smoking Frequency,Every Day,66.3,720,Overall,All Races,All Ages
5739,2017,Maine,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,62.7,2211,Male,All Races,All Ages
5740,2018,Kansas,Smokeless Tobacco Use (Adults),Current Use,,2.7,3902,Overall,All Races,65 Years and Older
5741,2017,Alaska,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,54.6,791,Male,All Races,All Ages
5742,2017,New York,E-Cigarette Use (Adults),Current Use,,2,6196,Female,All Races,All Ages
5743,2016,District of Columbia,E-Cigarette Use (Adults),Current Use,,1.8,1517,Overall,All Races,45 to 64 Years
5744,2018,Arizona,Smokeless Tobacco Use (Adults),Current Use,,2.6,404,Overall,All Races,18 to 24 Years
5745,2016,Guam,Cigarette Use (Adults),Current Smoking,,25.1,1523,Overall,All Races,All Ages
5746,2017,Massachusetts,Cigarette Use (Adults),Smoking Status,Never,57.5,2987,Male,All Races,All Ages
5747,2017,New Jersey,Cigarette Use (Adults),Current Smoking,,8,4120,Overall,All Races,65 Years and Older
5748,2018,Puerto Rico,Smokeless Tobacco Use (Adults),User Status,Not Current,99.5,1844,Male,All Races,All Ages
5749,2017,Massachusetts,E-Cigarette Use (Adults),User Status,Former,13.3,3658,Female,All Races,All Ages
5750,2016,Arkansas,Smokeless Tobacco Use (Adults),Current Use,,13.9,1933,Male,All Races,All Ages
5751,2016,Guam,E-Cigarette Use (Adults),User Status,Current,3.3,849,Female,All Races,All Ages
5752,2018,Minnesota,Cigarette Use (Adults),Smoking Frequency,Every Day,67.5,1069,Female,All Races,All Ages
5753,2017,Mississippi,E-Cigarette Use (Adults),Frequency of Use,Some Days,62.7,73,Male,All Races,All Ages
5754,2016,Delaware,Cigarette Use (Adults),Current Smoking,,23,1160,Overall,All Races,Age 20 and Older
5755,2017,Idaho,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,49,408,Overall,All Races,All Ages
5756,2018,Hawaii,E-Cigarette Use (Adults),User Status,Current,9.8,3469,Male,All Races,All Ages
5757,2018,New Hampshire,Cigarette Use (Adults),Current Smoking,,15.6,5558,Overall,All Races,All Ages
5758,2018,Mississippi,E-Cigarette Use (Adults),User Status,Never,77,3274,Female,All Races,All Ages
5759,2016,Connecticut,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,6119,Female,All Races,All Ages
5760,2018,Oklahoma,Smokeless Tobacco Use (Adults),Current Use,,1.2,767,Female,All Races,18 to 44 Years
5761,2017,Vermont,Smokeless Tobacco Use (Adults),Current Use,,3.7,286,Overall,All Races,18 to 24 Years
5762,2017,Oregon,E-Cigarette Use (Adults),User Status,Never,80.1,2864,Female,All Races,All Ages
5763,2017,Oregon,Cigarette Use (Adults),Smoking Status,Never,58.2,5127,Overall,All Races,All Ages
5764,2018,Idaho,Cigarette Use (Adults),Current Smoking,,13.6,1813,Female,All Races,All Ages
5765,2018,Hawaii,Cigarette Use (Adults),Current Smoking,,13.7,2735,Overall,All Races,45 to 64 Years
5766,2016,Georgia,Cigarette Use (Adults),Smoking Status,Current,17.9,5145,Overall,All Races,All Ages
5767,2018,Hawaii,Smokeless Tobacco Use (Adults),Current Use,,3.2,1684,Overall,All Races,Age 25 and Older
5768,2018,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.9,128,Overall,All Races,All Ages
5769,2018,Texas,E-Cigarette Use (Adults),Current Use,,3.7,3163,Overall,All Races,45 to 64 Years
5770,2018,Kentucky,Smokeless Tobacco Use (Adults),Current Use,,9.5,2432,Overall,All Races,Age 20 and Older
5771,2017,Iowa,E-Cigarette Use (Adults),User Status,Former,17,3480,Male,All Races,All Ages
5772,2017,Nevada,Cigarette Use (Adults),Current Smoking,,15.2,2334,Overall,All Races,Age 25 and Older
5773,2018,Washington,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,43.7,932,Overall,All Races,All Ages
5774,2018,New York,Cigarette Use (Adults),Current Smoking,,9.2,21741,Overall,All Races,Age 20 and Older
5775,2017,New Hampshire,E-Cigarette Use (Adults),Current Use,,6.7,557,Female,All Races,18 to 44 Years
5776,2016,Alaska,Cigarette Use (Adults),Current Smoking,,25,697,Overall,All Races,Age 25 and Older
5777,2017,New Mexico,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,59.6,198,Male,All Races,All Ages
5778,2017,Alabama,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,52.8,2834,Overall,All Races,All Ages
5779,2017,Kentucky,E-Cigarette Use (Adults),Current Use,,6.1,8328,Overall,All Races,All Ages
5780,2017,South Carolina,E-Cigarette Use (Adults),User Status,Current,3.5,6372,Female,All Races,All Ages
5781,2017,Connecticut,Cigarette Use (Adults),Smoking Status,Former,26,10072,Overall,All Races,All Ages
5782,2016,Alabama,E-Cigarette Use (Adults),Current Use,,4.7,722,Overall,All Races,Age 25 and Older
5783,2017,District of Columbia,Cigarette Use (Adults),Smoking Status,Never,72.3,2164,Female,All Races,All Ages
5784,2018,Louisiana,Cigarette Use (Adults),Smoking Status,Former,22.6,4853,Overall,All Races,All Ages
5785,2017,Montana,Cigarette Use (Adults),Current Smoking,,22.5,1624,Overall,All Races,Age 20 and Older
5786,2018,Nebraska,Cigarette Use (Adults),Current Smoking,,26.4,891,Overall,All Races,Age 25 and Older
5787,2018,Montana,E-Cigarette Use (Adults),User Status,Current,4.2,2665,Female,All Races,All Ages
5788,2017,Hawaii,E-Cigarette Use (Adults),Current Use,,3.4,5268,Overall,All Races,Age 20 and Older
5789,2018,Delaware,Smokeless Tobacco Use (Adults),Current Use,,1.5,744,Female,All Races,18 to 44 Years
5790,2018,Nevada,Cigarette Use (Adults),Current Smoking,,14,1645,Female,All Races,All Ages
5791,2017,New Mexico,Cigarette Use (Adults),Current Smoking,,17.5,6254,Overall,All Races,All Ages
5792,2017,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,42.3,292,Male,All Races,All Ages
5793,2016,Kentucky,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.1,246,Female,All Races,All Ages
5794,2017,Tennessee,Smokeless Tobacco Use (Adults),Current Use,,4.6,3205,Overall,All Races,Age 20 and Older
5795,2016,Idaho,E-Cigarette Use (Adults),Current Use,,3,3160,Overall,All Races,Age 25 and Older
5796,2017,Rhode Island,E-Cigarette Use (Adults),User Status,Former,11.7,3058,Female,All Races,All Ages
5797,2018,Washington,Cigarette Use (Adults),Current Smoking,,10.6,6740,Female,All Races,All Ages
5798,2017,Hawaii,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,42,121,Male,All Races,All Ages
5799,2017,Michigan,E-Cigarette Use (Adults),Current Use,,5.4,447,Overall,All Races,Age 25 and Older
5800,2017,Rhode Island,E-Cigarette Use (Adults),Current Use,,4.6,325,Overall,All Races,Age 20 and Older
5801,2017,Alaska,E-Cigarette Use (Adults),Current Use,,4.5,726,Overall,All Races,25 to 44 Years
5802,2017,Kansas,Smokeless Tobacco Use (Adults),Current Use,,2.6,6817,Overall,All Races,65 Years and Older
5803,2018,Montana,E-Cigarette Use (Adults),User Status,Current,4.7,4950,Overall,All Races,All Ages
5804,2018,Utah,E-Cigarette Use (Adults),Current Use,,7.3,2117,Overall,All Races,Age 25 and Older
5805,2016,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,,Female,All Races,All Ages
5806,2017,Hawaii,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,41.2,152,Overall,All Races,All Ages
5807,2018,Maine,Smokeless Tobacco Use (Adults),Current Use,,5.4,543,Overall,All Races,Age 20 and Older
5808,2017,Massachusetts,E-Cigarette Use (Adults),Frequency of Use,Some Days,70.8,165,Overall,All Races,All Ages
5809,2017,South Dakota,E-Cigarette Use (Adults),Current Use,,8.2,465,Overall,All Races,Age 20 and Older
5810,2018,New York,E-Cigarette Use (Adults),Current Use,,5.4,33481,Overall,All Races,All Ages
5811,2018,South Dakota,Smokeless Tobacco Use (Adults),Current Use,,1.5,868,Female,All Races,18 to 44 Years
5812,2017,Georgia,Cigarette Use (Adults),Current Smoking,,13.2,376,Overall,All Races,18 to 24 Years
5813,2017,Iowa,Smokeless Tobacco Use (Adults),Current Use,,2.8,2497,Overall,All Races,65 Years and Older
5814,2017,South Dakota,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,49.1,803,Overall,All Races,All Ages
5815,2016,Indiana,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,54.9,2310,Male,All Races,All Ages
5816,2017,Arkansas,Cigarette Use (Adults),Current Smoking,,26.8,1681,Overall,All Races,Age 25 and Older
5817,2017,California,Smokeless Tobacco Use (Adults),Current Use,,2.3,1452,Overall,All Races,Age 20 and Older
5818,2016,Alaska,Smokeless Tobacco Use (Adults),Current Use,,4.5,1789,Overall,All Races,Age 25 and Older
5819,2017,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,48.5,149,Male,All Races,All Ages
5820,2016,Kentucky,Smokeless Tobacco Use (Adults),Current Use,,2.1,1472,Female,All Races,18 to 44 Years
5821,2017,Arizona,Smokeless Tobacco Use (Adults),User Status,Not Current,95.2,6646,Male,All Races,All Ages
5822,2017,Mississippi,E-Cigarette Use (Adults),User Status,Former,17.4,4779,Overall,All Races,All Ages
5823,2017,Texas,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.7,344,Overall,All Races,All Ages
5824,2017,Kansas,Cigarette Use (Adults),Current Smoking,,14.2,1381,Overall,All Races,18 to 24 Years
5825,2018,Connecticut,E-Cigarette Use (Adults),User Status,Current,3.9,5661,Female,All Races,All Ages
5826,2017,Ohio,Cigarette Use (Adults),Smoking Status,Former,24.4,11879,Overall,All Races,All Ages
5827,2017,Maryland,Cigarette Use (Adults),Smoking Frequency,Some Days,31.4,663,Male,All Races,All Ages
5828,2018,Illinois,Smokeless Tobacco Use (Adults),Current Use,,2.8,1405,Overall,All Races,25 to 44 Years
5829,2017,Alabama,E-Cigarette Use (Adults),User Status,Never,74.5,2582,Male,All Races,All Ages
5830,2017,Guam,E-Cigarette Use (Adults),Current Use,,6.6,1440,Overall,All Races,All Ages
5831,2017,Idaho,Cigarette Use (Adults),Current Smoking,,14.3,4748,Overall,All Races,All Ages
5832,2016,Delaware,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,,46.8,247,Female,All Races,All Ages
5833,2017,Ohio,Smokeless Tobacco Use (Adults),Current Use,,7.5,571,Overall,All Races,18 to 24 Years
5834,2017,Virginia,E-Cigarette Use (Adults),Current Use,,3.8,6377,Overall,All Races,Age 20 and Older
5835,2018,North Carolina,E-Cigarette Use (Adults),Frequency of Use,Every Day,44.4,154,Overall,All Races,All Ages
5836,2017,Illinois,E-Cigarette Use (Adults),User Status,Former,13.7,2931,Female,All Races,All Ages
5837,2017,Montana,Smokeless Tobacco Use (Adults),Current Use,,11.1,1182,Overall,All Races,25 to 44 Years
5838,2016,Alabama,Cigarette Use (Adults),Smoking Frequency,Every Day,68.5,1260,Overall,All Races,All Ages
5839,2018,Wisconsin,E-Cigarette Use (Adults),User Status,Current,3.7,2322,Female,All Races,All Ages
5840,2017,Michigan,E-Cigarette Use (Adults),Current Use,,6.3,1530,Female,All Races,18 to 44 Years
5841,2018,Minnesota,Cigarette Use (Adults),Current Smoking,,16.8,8054,Male,All Races,All Ages
5842,2017,Nevada,E-Cigarette Use (Adults),Current Use,,2.8,1362,Overall,All Races,65 Years and Older
5843,2017,Minnesota,E-Cigarette Use (Adults),Current Use,,2.5,11619,Overall,All Races,Age 20 and Older
5844,2016,California,Cigarette Use (Adults),Current Smoking,,9.2,1010,Overall,All Races,18 to 24 Years
5845,2016,Connecticut,E-Cigarette Use (Adults),Current Use,,4,496,Overall,All Races,Age 25 and Older
5846,2018,Iowa,E-Cigarette Use (Adults),Current Use,,6.1,1968,Overall,All Races,25 to 44 Years
5847,2016,Idaho,Smokeless Tobacco Use (Adults),User Status,Not Current,98.9,2944,Female,All Races,All Ages
5848,2018,Utah,E-Cigarette Use (Adults),Current Use,,7,4942,Male,All Races,All Ages
5849,2018,California,Cigarette Use (Adults),Smoking Frequency,Every Day,55.6,435,Female,All Races,All Ages
5850,2017,New Hampshire,Cigarette Use (Adults),Current Smoking,,10.3,3751,Overall,All Races,Age 25 and Older
5851,2018,Pennsylvania,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,,,Female,All Races,All Ages
5852,2017,Texas,Cigarette Use (Adults),Smoking Status,Never,71.2,6889,Female,All Races,All Ages
5853,2016,Kentucky,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,59.2,578,Overall,All Races,All Ages
5854,2018,Missouri,Smokeless Tobacco Use (Adults),Current Use,,0.4,709,Female,All Races,18 to 44 Years
5855,2018,Connecticut,E-Cigarette Use (Adults),User Status,Never,83.5,5661,Female,All Races,All Ages
5856,2017,Oklahoma,Cigarette Use (Adults),Smoking Status,Former,27.9,2595,Male,All Races,All Ages
5857,2017,Idaho,E-Cigarette Use (Adults),Frequency of Use,Every Day,36.8,74,Female,All Races,All Ages
5858,2017,Connecticut,Smokeless Tobacco Use (Adults),User Status,Current,0.6,5714,Female,All Races,All Ages
5859,2018,Arizona,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,45.3,205,Male,All Races,All Ages
5860,2016,Kansas,Cigarette Use (Adults),Smoking Status,Never,53.8,5084,Male,All Races,All Ages
5861,2018,District of Columbia,Smokeless Tobacco Use (Adults),Current Use,,2.1,175,Overall,All Races,18 to 24 Years
5862,2018,New Jersey,Cigarette Use (Adults),Current Smoking,,22.6,693,Overall,All Races,Age 20 and Older
5863,2018,Ohio,Cigarette Use (Adults),Current Smoking,,10.7,4720,Overall,All Races,65 Years and Older
5864,2017,New Hampshire,Cigarette Use (Adults),Smoking Frequency,Every Day,77.6,295,Male,All Races,All Ages
5865,2018,Kentucky,Cigarette Use (Adults),Smoking Frequency,Every Day,76.3,924,Female,All Races,All Ages
5866,2016,Alabama,E-Cigarette Use (Adults),Current Use,,3.7,3617,Overall,All Races,Age 25 and Older
5867,2016,Arkansas,Cigarette Use (Adults),Current Smoking,,24.8,1923,Male,All Races,All Ages
5868,2017,Missouri,Smokeless Tobacco Use (Adults),Current Use,,2.1,2862,Overall,All Races,65 Years and Older
5869,2018,Oregon,Cigarette Use (Adults),Current Smoking,,12.3,3781,Overall,All Races,Age 25 and Older
5870,2018,South Dakota,Cigarette Use (Adults),Current Smoking,,21.5,3130,Male,All Races,All Ages
5871,2017,Kentucky,Cigarette Use (Adults),Current Smoking,,15.6,575,Overall,All Races,18 to 24 Years
5872,2018,Kentucky,Cigarette Use (Adults),Smoking Status,Current,23.2,3519,Male,All Races,All Ages
5873,2016,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,32.3,897,Male,All Races,All Ages
5874,2018,Maryland,E-Cigarette Use (Adults),Frequency of Use,Some Days,66.6,222,Female,All Races,All Ages
5875,2018,Colorado,Cigarette Use (Adults),Smoking Frequency,Every Day,66.7,1050,Overall,All Races,All Ages
5876,2017,Arizona,Cigarette Use (Adults),Smoking Frequency,Every Day,65.3,1972,Overall,All Races,All Ages
5877,2016,Florida,Cigarette Use (Adults),Smoking Status,Former,30.9,14791,Male,All Races,All Ages
5878,2018,Oregon,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,40.3,221,Overall,All Races,All Ages
5879,2016,Indiana,Cigarette Use (Adults),Smoking Status,Former,28.7,4409,Male,All Races,All Ages
5880,2018,Hawaii,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,,,Female,All Races,All Ages
5881,2016,Alaska,E-Cigarette Use (Adults),Current Use,,5.1,1326,Male,All Races,All Ages
5882,2018,Oregon,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,64,198,Male,All Races,All Ages
5883,2017,Tennessee,E-Cigarette Use (Adults),Frequency of Use,Every Day,33.9,252,Overall,All Races,All Ages
5884,2018,Nebraska,Cigarette Use (Adults),Smoking Status,Never,60.3,14140,Overall,All Races,All Ages
5885,2018,Texas,E-Cigarette Use (Adults),User Status,Current,5.2,9535,Overall,All Races,All Ages
5886,2018,Colorado,Smokeless Tobacco Use (Adults),User Status,Current,3.5,8228,Overall,All Races,All Ages
5887,2018,Alaska,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,55.9,1250,Overall,All Races,All Ages
5888,2018,North Carolina,Smokeless Tobacco Use (Adults),Current Use,,1.3,2466,Female,All Races,All Ages
5889,2016,Illinois,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,59.6,971,Male,All Races,All Ages
5890,2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,33.4,1110,Overall,All Races,All Ages
5891,2017,Guam,E-Cigarette Use (Adults),User Status,Current,6.6,1440,Overall,All Races,All Ages
5892,2017,New Jersey,Cigarette Use (Adults),Current Smoking,,17.3,2056,Overall,All Races,25 to 44 Years
5893,2018,Wyoming,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,67,251,Male,All Races,All Ages
5894,2017,Maine,E-Cigarette Use (Adults),Frequency of Use,Every Day,41.3,119,Male,All Races,All Ages
5895,2016,Indiana,Smokeless Tobacco Use (Adults),Current Use,,4.9,3418,Overall,All Races,Age 25 and Older
5896,2018,Oregon,E-Cigarette Use (Adults),Current Use,,3.4,3363,Overall,All Races,Age 25 and Older
5897,2017,Utah,Cigarette Use (Adults),Current Smoking,,5.4,6816,Overall,All Races,Age 20 and Older
5898,2017,Pennsylvania,Cigarette Use (Adults),Current Smoking,,16.9,3401,Female,All Races,All Ages
5899,2017,Massachusetts,Cigarette Use (Adults),Current Smoking,,19.8,1198,Overall,All Races,Age 25 and Older
5900,2018,Wyoming,E-Cigarette Use (Adults),Frequency of Use,Some Days,66.8,157,Overall,All Races,All Ages
5901,2018,South Carolina,Cigarette Use (Adults),Current Smoking,,9.6,4775,Overall,All Races,65 Years and Older
5902,2016,Kentucky,Cigarette Use (Adults),Current Smoking,,17.4,5524,Overall,All Races,Age 25 and Older
5903,2017,Washington,E-Cigarette Use (Adults),Frequency of Use,Some Days,52,207,Male,All Races,All Ages
5904,2018,Maine,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,66.2,2878,Female,All Races,All Ages
